Proceso,Mes,Ano,Presupuesto,Real
Proceso 6,3,2016,4879606,11555460
Proceso 6,4,2016,25408421,12414392
Proceso 6,5,2016,19415123,34310572
Proceso 6,6,2016,14983741,27373316
Proceso 6,7,2016,5950848,13232472
Proceso 6,8,2016,3883633,9996281
Proceso 6,9,2016,2522852,7866000
Proceso 7,1,2016,2080484,7232424
Proceso 7,2,2016,10323697,56814037
Proceso 7,3,2016,20993658,86686595
Proceso 7,4,2016,25315007,88438146
Proceso 7,5,2016,34633992,88928263
Proceso 7,6,2016,43911715,115612264
Proceso 7,7,2016,21150988,81873223
Proceso 7,8,2016,23205294,91557058
Proceso 7,9,2016,24250688,98189556
Proceso 8,1,2016,0,1173064
Proceso 8,3,2016,0,241130
Proceso 8,4,2016,0,47396
Proceso 8,6,2016,0,747135
Proceso 8,7,2016,0,165188
Proceso 8,8,2016,0,546522
Proceso 8,9,2016,0,1798386
Proceso 9,1,2016,16167033,21466907
Proceso 9,2,2016,4666918,16783922
Proceso 9,3,2016,13259158,23614447
Proceso 9,4,2016,16606971,23888848
Proceso 9,5,2016,30365927,26362772
Proceso 9,6,2016,89965636,35041400
Proceso 9,7,2016,33580764,27485379
Proceso 9,8,2016,30510893,44226345
Proceso 9,9,2016,17836571,28375838
Proceso 10,1,2016,485724,315704
Proceso 10,2,2016,1048001,681165
Proceso 10,4,2016,525701,341688
Proceso 11,1,2016,26926351,25839895
Proceso 11,2,2016,17408028,14850226
Proceso 11,3,2016,18972665,21363490
Proceso 11,4,2016,15842768,18778207
Proceso 11,5,2016,13985040,22759480
Proceso 11,6,2016,24485495,23880765
Proceso 11,7,2016,29634589,28164350
Proceso 11,8,2016,42909033,41204042
Proceso 11,9,2016,36102616,37003254
Proceso 12,1,2016,737917,16733438
Proceso 12,2,2016,20261555,25949953
Proceso 12,3,2016,22088938,29841370
Proceso 12,4,2016,48798533,41707718
Proceso 12,5,2016,43986430,27193299
Proceso 12,6,2016,56107314,70303055
Proceso 12,7,2016,9148175,29886033
Proceso 12,8,2016,25405221,45604252
Proceso 12,9,2016,17116774,25658217
Proceso 13,1,2016,13021202,48562198
Proceso 13,2,2016,44837835,90244409
Proceso 13,3,2016,17228063,69642150
Proceso 13,4,2016,78577446,96818230
Proceso 13,5,2016,100207703,121512532
Proceso 13,6,2016,131071773,142487526
Proceso 13,7,2016,99357614,136578967
Proceso 13,8,2016,53971085,131005102
Proceso 13,9,2016,37595667,109446956
Proceso 14,1,2016,1745116,3623863
Proceso 14,2,2016,4932174,2962026
Proceso 14,3,2016,13104173,10333742
Proceso 14,4,2016,3749906,5094552
Proceso 14,5,2016,9474136,10811421
Proceso 14,6,2016,21043354,16331011
Proceso 14,7,2016,21514184,23263612
Proceso 14,8,2016,11774201,13696397
Proceso 14,9,2016,9716401,9656828
Proceso 15,7,2016,4334192,4097598
Proceso 15,8,2016,16319579,15428729
Proceso 15,9,2016,18255216,17258705
Proceso 16,2,2016,117895,165654
Proceso 16,7,2016,262045,338580
Proceso 16,8,2016,79930,112860
Proceso 16,9,2016,21093,51728
Proceso 17,3,2016,28852,78346
Proceso 17,4,2016,66249,179896
Proceso 17,5,2016,475568,1291377
Proceso 17,6,2016,151795,412190
Proceso 17,7,2016,1689501,4587743
Proceso 17,8,2016,107902,293003
Proceso 17,9,2016,60431,164098
Proceso 18,1,2016,553217,952833
Proceso 18,2,2016,1887511,3250952
Proceso 18,3,2016,2520464,4341118
Proceso 18,4,2016,381906,657776
Proceso 18,5,2016,1151029,1982473
